"companyid","yearmonth1","sentences","countvar1"
18511,"2010m11","Thanks, Patrick.",1781
18511,"2010m11","Good morning, everyone, and welcome to our Half Yearly Results Presentation.",1781
18511,"2010m11","This is our agenda for today.",1781
18511,"2010m11","I'm going to give a short introduction, and then Julia will present a financial review of the first half year.",1781
18511,"2010m11","Cressida Hogg, who's our managing partner of the Infrastructure business, will then give you an overview of this important part of 3i's investment activity.",1781
18511,"2010m11","And finally, I'll review our strategic progress and cover the outlook and priorities for the next six months.",1781
18511,"2010m11","As I said in the statement this morning, we've increased momentum throughout the business.",1781
18511,"2010m11","Our portfolio has delivered a good performance, achieving a gross portfolio return of 8.",1781
18511,"2010m11","7% for the six months to the 30th of September.",1781
18511,"2010m11","Total return was lower at 3.",1781
18511,"2010m11","8%, although NAV growth over the last 12 months is over 15%.",1781
18511,"2010m11","We've made good progress in terms of strategic development, and we now have three strong platforms for growth.",1781
18511,"2010m11","In the last few presentations to you, I've talked about planning and organizing for growth.",1781
18511,"2010m11","We've now moved into the delivery phase.",1781
18511,"2010m11","And I'll give you more detail on this later.",1781
18511,"2010m11","But before that, Julia will review our financial performance.",1781
18511,"2010m11","So if I take your question on provisions and impairments, I mean, clearly, you're right.",1781
18511,"2010m11","If you compare the numbers to last year, then it doesn't look like a particularly good shift.",1781
18511,"2010m11","What it would say is clearly last year had almost the benefit of the previous year where we've had some very, very significant provisions and impairment.",1781
18511,"2010m11","So I'd say last year was unusually low.",1781
18511,"2010m11","And this year, the provision level is 1.",1781
18511,"2010m11","1% of opening portfolio value.",1781
18511,"2010m11","That's an unusual sort of amount.",1781
18511,"2010m11","In terms of the underlying movement that's in there, it's a small number of assets.",1781
18511,"2010m11","There's no particular themes that I can draw out for you that's spread across the business lines, that's spread across sectors and spread across geographies.",1781
18511,"2010m11","The specific factors to particular investments and don't actually indicate any underlying trend the overall portfolio.",1781
18511,"2010m11","And then in terms of cash for the period, I mean, clearly there are, as Michael has said, there was a number of transactions that are being well trailed in the market.",1781
18511,"2010m11","We're not trying to give you a specific number where expect cash to be because we would like actually to be investing in the second half.",1781
18511,"2010m11","So it's realistic to assume that there will be some significant realizations coming through.",1781
18511,"2010m11","But in terms where net debt's going to be would be putting and some decent amount of investment in the second half.",1781
18511,"2010m11","Some of that will come down to timing.",1781
18511,"2010m11","Where we will talk about smaller numbers of large transactions, we can get quite different numbers coming over the year.",1781
18511,"2010m11","So I would hope that we would have investment, but clearly number of realizations going through.",1781
18511,"2010m11","Well, I think what we're looking to do overall is deliver 15% returns to shareholders.",1781
18511,"2010m11","That will come in a combination of forms, will come from the earnings growth on the portfolio.",1781
18511,"2010m11","We typically do see a step-up when we sell assets open above the carrying value, so that gives an additional boost to return; and of course, from the income streams from managing third-party assets, which clearly will start to rise as we incorporate the Debt Management business.",1781
18511,"2010m11","I think if you look at this half year's performance, I mean, the way I try and look at this is to sort of x out multiple movement, both up and down, whether half-year period.",1781
18511,"2010m11","And so I think what they're all about in terms of their consistency delivery with that delivery of that trend.",1781
18511,"2010m11","So the MWM transaction to bring in about GBP 180 million.",1781
18511,"2010m11","So as Michael said on his slide, that's GBP 224 million.",1781
18511,"2010m11","Thanks, Cressida.",1781
18511,"2010m11","I'd now like to update you on our strategic progress and then talk about the outlook on our priorities for the second half.",1781
18511,"2010m11","The four quarter elements of our strategy, as set out on the slide, are also described in detail on our IR website as well as in our annual report.",1781
18511,"2010m11","And today, I want to mainly focus on two aspects of this strategy, investing and growing the business.",1781
18511,"2010m11","Let me start with investment.",1781
18511,"2010m11","High-quality new investment is important to future value growth.",1781
18511,"2010m11","But the environment for making good investments has been challenging.",1781
18511,"2010m11","Let me explain what I mean by challenging.",1781
18511,"2010m11","Volume of private equity activity across Europe has been very low.",1781
18511,"2010m11","The number of transactions for both growth and buyouts is a third the level than it was in 2007.",1781
18511,"2010m11","But the funds available for investment continue to be very high, with the consequence that most transactions in Europe have been very at high prices so we have an overhang of capital in our industry.",1781
18511,"2010m11","Now in this environment, we've taking a measured and highly selective approach to the market and focused only on making investments where we feel we can make a significant impact on the performance of a particular company.",1781
18511,"2010m11","Trescal is a very good example of such a situation.",1781
18511,"2010m11","It's a classic mid-market buyout in terms of size and profile.",1781
18511,"2010m11","Trescal is a French-based International business, providing calibration services for a wide range of industrial companies.",1781
18511,"2010m11","It has revenue of EUR 110 million and operates 60 laboratories in 11 countries.",1781
18511,"2010m11","We were able to invest through our strong relationship with the management, our experience having made several successful investments in the sector and the involvement of from our business leaders network.",1781
18511,"2010m11","The investment case is based on four components.",1781
18511,"2010m11","Firstly, Trescal is in a growing sector, as many of its customers are looking to outsource testing and measurement.",1781
18511,"2010m11","Secondly, because capital investment is required in building a company like Trescal, there are significant barriers to entry.",1781
18511,"2010m11","Thirdly, through our active partnership analysis, we and management believe there's considerable opportunity for operational improvement.",1781
18511,"2010m11","And finally, given its market position and a highly fragmented sector, there's a real opportunity for buy and build.",1781
18511,"2010m11","Now increasing the level of investment is only one way to grow 3i's value.",1781
18511,"2010m11","In addition, we must also continue to take every opportunity to grow the value of our existing portfolio.",1781
18511,"2010m11","Earnings growth in our portfolio is being good.",1781
18511,"2010m11","And one of the ways that our portfolio companies have been delivering this is to find opportunities in developing markets.",1781
18511,"2010m11","MWM is a very good example of this.",1781
18511,"2010m11","MWM is a GBP 360 million euro buyout from Deutsche AG 2007.",1781
18511,"2010m11","And it's a leading manufacturer of engines that are used to produce power.",1781
18511,"2010m11","Now a typical use for an MWM engine is generating power from landfill gas sites, so there's huge demand for these products in the developing world.",1781
18511,"2010m11","Our investment case was based on growth and significant operational improvement.",1781
18511,"2010m11","And key to delivering this was the introduction of Peter, again from 3i's Business Leaders Network to lead a program of significant cultural change, alongside a number of 3i active partnership initiatives to improve MWM's strategic position and operational effectiveness.",1781
18511,"2010m11","Performance of the business has dramatically improved, and its market position is being strengthened.",1781
18511,"2010m11","And this made it a really attractive acquisition target.",1781
18511,"2010m11","And last month, we announced that Caterpillar had agreed to purchase MWM for EUR 580 million.",1781
18511,"2010m11","Now this sale which is subject to various regulatory approvals will deliver 2.",1781
18511,"2010m11","2x money multiple and proceeds of EUR 224 million to 3i Group, as well as on an IRR of 25% for 3i and the investors in our Eurofund V.",1781
18511,"2010m11","In addition to making high-quality investments such as Trescal and MWM and doing everything we can to help these businesses grow their earnings and improve their strategic positioning, we've also been investing in 3i itself.",1781
18511,"2010m11","Our Infrastructure business is a great example of this.",1781
18511,"2010m11","But another strategic investment is our Debt Management business.",1781
18511,"2010m11","This started in 2005 with a small in-house team.",1781
18511,"2010m11","The team provides banking expertise to our deal teams and to our portfolio.",1781
18511,"2010m11","In addition, it invests in high-quality debt instruments in non-3i investments.",1781
18511,"2010m11","This team's been a major source of strength to 3i throughout the credit crisis and has added considerable value to our investment teams and our portfolio of companies.",1781
18511,"2010m11","Given this positive experience, we saw a real strategic opportunity to expand our debt investment and management activities.",1781
18511,"2010m11","The acquisition of MIM or was therefore an actual step.",1781
18511,"2010m11","MIM manages GBP 3.",1781
18511,"2010m11","7 billion of assets in eight funds of corporate, senior and subordinated debt.",1781
18511,"2010m11","The rationale for the deal was straightforward.",1781
18511,"2010m11","MIM builds on the 3i's existing debt management capabilities.",1781
18511,"2010m11","MIM also brings an experienced team of 28 people to 3i, including Jeremy.",1781
18511,"2010m11","Jeremy will join our leadership team and head up the Debt Management business.",1781
18511,"2010m11","This move creates a platform to manage multiple funds and provides the potential to diversify into other debt products, as well as the capacity to grow using 3i's balance sheet.",1781
18511,"2010m11","Strategically, the Debt Management business is important because like infrastructure, it provides the opportunity for a good source of low volatility returns with a significant yield component.",1781
18511,"2010m11","This next slide shows you the shape of the business once the MIM acquisition is complete, which we expect to be at the end of January 2011.",1781
18511,"2010m11","Our Private Equity business is clearly the largest, with assets under management of GBP 7.",1781
18511,"2010m11","In September, we announced the decision to combine our Buyout and Growth Capital businesses to form a single Private Equity business.",1781
18511,"2010m11","The rationale for this change was to ensure that we had the right model for a changing market and is based on ensuring we continue to develop our business model to maintain a sustainable competitive advantage.",1781
18511,"2010m11","Our Buyout and Growth Capital businesses have the same mid-market focus, targeting companies with an enterprise value in the range of EUR 100 million to EUR 1 billion.",1781
18511,"2010m11","They have the same investment and management processes, and our teams adopt the same approach to achieving influence through being active members of the portfolio company boards.",1781
18511,"2010m11","They share the same active partnership approach to driving value, both use the group's network and next sector expertise and both draw on our Business Leaders Network members.",1781
18511,"2010m11","Now another important driver of this decision was our view on what the next generation of private equity funds might look like.",1781
18511,"2010m11","Our view was that an evil vision towards more regionally-based funds and most LPs are more focused on making geographic allocations than the distinction between majority and minority private equity investments.",1781
18511,"2010m11","We've also been preparing for the next generation of leadership in our investment business, and I'll say more on that in a minute.",1781
18511,"2010m11","This change has been welcomed by professional advisors, management teams, our Business Leaders Network and our own people.",1781
18511,"2010m11","The feedback that we've had is it will make 3i easier to understand and easier to deal with.",1781
18511,"2010m11","And this is critical in a highly competitive market.",1781
